,expected,predicted
960,0,0
640,0,0
1246,0,0
1909,0,0
870,0,1
399,1,1
2197,1,1
259,1,1
2523,1,1
1866,0,0
1564,0,0
1397,0,0
2263,0,0
819,1,1
171,1,1
2276,0,0
1135,1,1
2231,0,0
575,0,1
1524,0,0
1258,0,0
124,1,1
1853,0,0
108,1,1
1228,0,0
2068,0,0
1763,0,0
765,1,1
2272,0,0
1611,0,0
586,1,1
1128,0,0
2232,0,0
537,1,1
1339,0,0
1290,0,0
2301,0,0
1714,0,0
1876,0,0
1529,0,0
1971,1,1
1030,1,0
725,0,0
1293,0,0
1344,0,0
2082,0,0
2288,0,0
2149,0,0
1796,0,0
2040,0,0
1631,0,0
2084,0,0
199,1,1
759,1,1
1193,0,0
103,1,1
1707,0,0
1458,0,0
544,1,1
1321,0,0
1964,1,1
2433,0,0
1049,0,0
993,1,0
471,1,1
1407,0,0
954,1,0
2384,0,0
1754,0,0
1567,0,0
986,0,0
1067,0,0
473,1,1
2516,1,1
218,1,1
1473,0,0
1223,0,0
946,0,0
928,0,0
308,1,1
692,0,0
975,0,0
1864,0,0
2483,0,0
498,1,1
2278,0,0
2376,1,1
1423,0,0
1578,0,0
301,1,1
1736,0,0
521,1,1
2370,1,1
2188,0,0
1144,0,0
381,1,1
2164,0,0
363,1,1
1627,0,0
99,1,1
423,1,1
1196,0,0
1001,0,0
306,1,1
2210,1,1
1877,0,0
1394,0,0
1786,0,0
1729,0,0
2308,0,0
953,0,0
1649,0,0
2020,0,0
863,0,1
109,1,1
556,1,0
2092,0,0
977,0,0
2039,0,0
388,1,1
2220,0,0
518,1,1
1721,0,0
18,1,0
36,1,1
1211,0,0
1285,0,0
780,1,1
1441,0,0
273,1,1
1467,0,0
2547,1,0
374,1,1
1177,0,0
2363,0,0
671,0,0
1723,0,0
916,0,0
215,1,1
75,1,1
1054,0,0
240,1,1
2479,0,0
1338,0,0
1752,0,0
2448,0,0
2017,0,0
1659,0,0
2333,0,0
2038,0,0
2185,0,0
1367,0,0
1095,0,0
372,1,1
764,1,1
1544,0,0
2482,0,0
805,1,1
1737,0,0
1906,0,0
534,1,1
1167,0,0
326,1,1
501,1,1
1625,0,0
58,1,1
1382,0,0
2233,0,0
2180,0,0
1019,0,0
1749,0,0
1952,0,1
938,0,0
2419,0,0
767,0,0
189,1,1
564,1,1
1302,0,0
1481,0,0
1279,0,0
1048,1,0
646,0,0
622,0,0
2467,0,0
1642,0,0
480,1,1
220,1,1
1848,0,0
530,1,1
1088,0,0
2095,0,0
952,0,0
2379,0,0
272,1,1
2077,0,0
948,0,0
558,1,1
1903,0,0
2443,0,0
249,1,1
2352,1,1
1479,0,0
621,1,0
1429,0,0
1402,0,0
660,0,0
255,1,1
262,1,1
1845,0,0
1510,0,0
1565,0,0
1409,0,0
956,0,0
1485,0,0
265,1,1
1832,0,0
1488,0,0
2029,0,0
650,0,0
2314,0,0
1623,0,0
2293,1,1
1404,0,0
1668,0,0
2393,0,0
769,0,0
703,0,0
2415,0,0
515,1,1
1566,0,0
1609,0,0
1619,0,0
2246,0,0
428,0,1
978,0,0
1769,0,0
2206,0,0
949,0,0
1766,0,0
1597,0,0
1836,0,0
217,1,1
1143,0,0
1761,0,0
1445,0,0
49,1,1
2453,1,1
1904,0,0
2311,0,0
1640,0,0
561,1,1
2418,0,0
1837,0,0
1313,0,0
844,1,1
74,1,1
1824,0,0
1851,0,0
1943,0,0
2239,0,0
1474,0,0
1703,0,0
115,1,1
2195,0,0
1307,0,0
1908,0,0
1356,0,0
2461,0,0
998,0,0
94,1,1
270,1,1
1972,0,0
1657,0,0
2061,1,0
901,0,0
2054,0,0
708,0,0
1691,0,0
371,1,1
1581,0,0
1351,0,0
1947,0,0
1103,0,0
1070,1,0
791,1,1
1751,0,0
1416,0,0
406,1,1
427,1,1
1612,0,0
915,0,0
486,1,1
824,1,1
224,1,1
,expected,predicted
7,0,0
10,0,0
16,0,0
26,1,1
61,1,1
66,1,1
74,1,1
83,1,1
93,1,1
118,1,1
119,1,1
122,1,1
146,1,1
149,1,1
151,1,1
159,1,1
163,1,1
172,1,1
183,1,1
185,1,1
189,1,1
191,1,1
195,1,1
197,1,1
201,1,1
204,1,1
221,1,1
223,1,1
227,1,1
231,1,1
236,1,1
276,1,1
285,1,1
287,1,1
314,1,1
324,1,1
327,1,1
329,1,1
340,1,1
344,1,1
355,1,1
358,0,1
376,1,1
381,1,1
387,1,1
395,1,1
405,1,1
412,1,1
443,1,1
452,1,1
463,1,1
472,1,1
482,1,1
489,1,1
495,1,1
496,1,1
501,1,1
510,1,1
512,1,1
522,1,1
533,1,1
562,1,1
576,1,1
589,1,1
600,1,1
613,1,1
615,1,1
629,0,0
632,0,0
638,0,0
654,0,0
665,0,0
677,0,0
681,0,0
683,0,0
699,0,0
705,0,0
716,0,0
728,0,0
737,0,0
742,0,0
764,1,1
768,0,0
774,1,1
775,1,1
796,1,1
797,1,1
814,1,1
832,1,1
835,1,1
840,1,1
845,1,1
871,0,1
890,0,0
899,0,0
903,0,0
938,0,0
940,0,0
946,0,0
953,0,0
965,0,0
974,0,0
983,0,0
985,0,0
989,0,0
1000,0,0
1002,0,0
1010,0,0
1030,1,0
1033,0,0
1051,0,0
1065,0,0
1071,0,0
1080,0,0
1085,0,0
1089,0,0
1092,0,0
1117,0,0
1144,0,0
1149,0,0
1178,0,0
1182,1,1
1186,0,0
1189,0,0
1196,0,0
1198,0,0
1212,0,0
1243,0,0
1244,0,0
1261,0,0
1262,0,0
1268,0,0
1309,0,0
1316,0,0
1322,0,0
1326,0,0
1328,0,0
1344,0,0
1354,0,0
1358,0,0
1388,0,0
1397,0,0
1400,0,0
1460,0,0
1461,0,0
1462,0,0
1481,0,0
1483,0,0
1498,0,0
1500,0,0
1504,0,0
1514,0,0
1530,0,0
1533,0,0
1534,0,0
1562,0,0
1565,0,0
1570,0,0
1573,0,0
1597,0,0
1603,0,0
1629,0,0
1639,0,0
1647,0,0
1675,0,0
1685,0,0
1689,0,0
1693,0,0
1705,0,0
1750,0,0
1766,0,0
1786,0,0
1811,0,0
1817,0,0
1820,0,0
1828,0,0
1830,0,0
1834,0,0
1857,0,0
1861,0,0
1868,0,0
1871,0,0
1880,0,0
1882,0,0
1886,0,0
1887,0,0
1904,0,0
1907,0,0
1933,0,0
1936,0,0
1943,0,0
1967,1,1
1977,1,0
1979,0,0
1994,1,0
2002,0,0
2003,0,0
2006,1,0
2011,1,0
2017,0,0
2022,0,0
2040,0,0
2071,0,0
2072,0,0
2074,0,0
2075,1,0
2079,0,0
2081,0,0
2112,0,0
2113,0,0
2119,0,0
2124,1,1
2125,1,0
2126,0,0
2137,0,0
2144,0,0
2148,0,0
2149,0,0
2188,0,0
2193,0,0
2202,0,0
2209,1,1
2258,1,0
2273,0,0
2278,0,0
2281,1,0
2282,0,0
2284,0,0
2309,1,0
2310,1,0
2323,0,0
2327,0,0
2339,0,0
2341,0,0
2349,1,1
2359,1,1
2365,1,1
2367,1,1
2406,0,0
2416,0,0
2428,0,0
2429,0,0
2432,0,0
2435,0,0
2460,0,0
2461,0,0
2463,0,0
2465,0,0
2466,0,0
2469,0,0
2473,0,0
2497,0,0
2514,0,0
2517,1,1
2542,1,0
,expected,predicted
1,1,0
4,0,0
9,0,0
25,0,0
27,1,1
31,0,0
33,1,1
34,1,1
38,1,1
65,1,1
75,1,1
85,1,1
97,1,1
101,1,1
102,1,1
144,1,1
162,1,1
173,1,1
174,1,1
196,1,1
203,1,1
205,1,1
207,1,1
229,1,1
237,1,1
238,1,1
243,1,1
246,1,1
269,1,1
270,1,1
278,1,1
294,1,1
301,1,1
317,1,1
333,1,1
339,1,1
341,1,1
350,1,1
351,1,1
374,1,1
377,1,1
385,1,1
393,1,1
398,1,1
416,1,1
423,1,1
426,1,1
440,1,1
449,1,1
479,1,1
480,1,1
500,1,1
505,1,1
515,1,1
526,1,1
529,1,1
532,1,1
534,1,1
547,1,1
556,1,0
559,1,1
560,1,1
573,1,1
578,1,1
596,1,1
599,1,1
616,1,1
624,0,0
626,0,0
630,0,0
634,0,0
640,0,0
666,0,0
675,0,0
687,0,0
694,0,0
709,0,0
710,0,0
734,0,0
743,0,0
746,1,0
747,1,0
759,1,1
779,1,1
781,1,1
799,1,1
804,1,1
824,1,1
864,0,1
878,0,0
879,0,1
892,0,0
894,0,0
901,0,0
910,0,0
911,0,0
922,0,0
930,0,0
932,0,0
942,0,0
943,0,0
959,0,0
966,0,0
976,0,0
984,0,0
987,0,0
995,0,0
996,0,0
1013,0,0
1014,0,0
1024,0,0
1031,0,1
1052,0,0
1058,0,0
1070,1,0
1074,0,0
1077,0,0
1086,0,0
1095,0,0
1096,0,0
1108,1,0
1121,0,0
1128,0,0
1134,1,1
1146,0,0
1147,0,0
1155,0,0
1158,0,0
1160,0,0
1165,0,0
1176,0,0
1177,0,0
1184,0,0
1191,0,0
1206,0,0
1229,0,0
1230,0,0
1235,0,0
1241,0,0
1252,0,0
1263,0,0
1325,0,0
1340,0,0
1342,0,0
1352,0,0
1369,0,0
1371,0,0
1375,0,0
1376,0,0
1394,0,0
1430,0,0
1442,0,0
1452,0,0
1469,0,0
1482,0,0
1493,0,0
1525,0,0
1544,0,0
1548,0,0
1551,0,0
1553,0,0
1557,0,0
1569,0,0
1572,0,0
1577,0,0
1585,1,1
1593,1,0
1596,0,0
1605,0,0
1606,0,0
1616,0,0
1621,0,0
1651,0,0
1653,0,0
1657,0,0
1662,0,0
1674,0,0
1682,0,0
1684,0,0
1691,0,0
1707,0,0
1715,0,0
1716,0,0
1721,0,0
1732,0,0
1769,0,0
1773,0,0
1776,0,0
1779,0,0
1789,0,0
1802,0,0
1803,0,0
1879,0,0
1884,0,0
1896,0,0
1919,0,0
1922,0,0
1949,0,0
1954,1,1
1963,1,1
1965,1,1
2007,1,0
2013,1,1
2035,0,0
2049,0,0
2055,0,0
2068,0,0
2077,0,0
2080,0,0
2088,0,0
2093,1,1
2105,1,0
2121,0,0
2128,1,0
2132,0,0
2134,0,0
2143,0,0
2191,0,0
2201,0,0
2204,0,0
2206,0,0
2211,1,0
2212,1,0
2214,0,0
2262,0,0
2264,0,0
2301,0,0
2315,0,0
2342,1,1
2354,1,1
2360,1,1
2380,1,1
2391,0,0
2395,0,0
2397,0,0
2401,0,0
2402,0,0
2403,0,0
2409,0,0
2419,0,0
2425,0,0
2440,0,0
2455,0,0
2464,0,0
2468,0,0
2474,0,0
2477,0,0
2479,0,0
2490,0,0
2503,1,0
2526,1,1
2531,1,1
2532,0,0
2538,0,0
2543,1,0
,expected,predicted
12,0,0
35,1,1
39,1,1
44,1,1
45,1,1
51,1,1
62,1,1
86,1,1
94,1,1
96,1,1
98,1,1
100,1,1
112,1,1
116,1,1
125,1,1
142,1,1
143,1,1
147,1,1
154,1,1
179,1,1
193,1,1
208,1,1
214,1,1
228,1,1
288,1,1
295,1,1
296,1,1
306,1,1
319,1,1
326,1,1
331,1,1
336,1,1
347,1,1
352,1,1
363,1,1
364,1,1
366,1,1
391,1,1
400,1,1
408,1,1
420,1,1
430,1,1
432,1,1
438,1,1
439,1,1
445,1,1
451,1,1
454,1,1
457,1,1
459,1,1
461,0,0
467,1,1
470,1,1
473,1,1
475,1,1
491,1,1
504,1,1
506,1,1
552,1,1
555,1,1
572,1,1
574,1,1
577,1,1
580,1,1
594,1,1
614,1,1
622,0,0
625,0,0
635,0,0
639,0,0
641,0,0
657,0,0
658,0,0
660,0,0
662,0,0
676,0,0
682,0,0
690,0,0
698,0,0
717,0,0
748,1,0
769,0,0
791,1,1
801,1,1
812,1,1
815,0,0
816,0,0
817,0,0
828,1,1
852,1,0
854,1,0
856,1,1
882,0,0
900,0,0
902,0,0
904,0,0
906,0,0
908,0,0
913,0,0
917,0,0
926,0,0
937,0,0
941,0,0
950,0,0
951,0,0
967,0,0
971,0,0
979,0,0
981,0,0
992,1,0
1003,0,0
1022,0,0
1035,1,0
1059,0,0
1082,0,0
1090,0,0
1093,0,0
1105,0,0
1110,1,0
1112,1,0
1114,0,0
1135,1,1
1138,0,1
1154,0,0
1156,0,0
1170,0,0
1181,0,0
1210,0,0
1215,0,0
1222,0,0
1227,0,0
1236,0,0
1242,0,0
1264,0,0
1266,0,0
1272,0,0
1274,0,0
1320,0,0
1321,0,0
1335,0,0
1357,0,0
1366,0,0
1367,0,0
1373,0,0
1379,0,0
1381,0,0
1390,0,0
1392,0,0
1399,0,0
1401,0,0
1405,0,0
1408,0,0
1412,0,0
1422,0,0
1423,0,0
1427,0,0
1436,0,0
1437,0,0
1439,0,0
1441,0,0
1444,0,0
1474,0,0
1486,0,0
1503,0,0
1536,0,0
1542,0,0
1564,0,0
1584,1,1
1589,1,1
1594,0,0
1622,0,0
1627,0,0
1648,0,0
1652,0,0
1679,0,0
1680,0,0
1681,0,0
1688,0,0
1731,0,0
1734,0,0
1737,0,0
1742,0,0
1757,0,0
1763,0,0
1800,0,0
1813,0,0
1824,0,0
1831,0,0
1837,0,0
1840,0,0
1845,0,0
1859,0,0
1865,0,0
1870,0,0
1890,0,0
1909,0,0
1912,0,0
1927,0,0
1934,0,1
1945,0,0
1969,1,1
1980,0,0
1983,1,0
2018,0,0
2019,0,0
2023,0,0
2030,0,0
2037,0,0
2039,0,0
2041,0,0
2051,0,0
2053,0,0
2065,1,0
2083,0,0
2106,0,0
2131,1,0
2141,0,0
2145,0,0
2146,0,0
2168,0,0
2177,0,0
2178,0,0
2183,0,0
2192,1,1
2213,0,0
2226,0,0
2269,0,0
2270,0,0
2272,0,0
2275,0,0
2292,0,0
2331,0,0
2348,1,1
2355,1,0
2366,0,0
2369,1,1
2371,1,1
2372,0,0
2386,0,0
2412,0,0
2422,0,0
2423,0,0
2427,0,0
2445,0,0
2456,0,0
2457,1,1
2458,1,1
2472,0,0
2494,0,0
2507,0,0
2512,1,0
2513,0,0
2525,1,1
2541,1,0
2544,1,0
,expected,predicted
6,0,1
29,1,1
37,1,1
53,1,1
63,1,1
68,1,1
84,1,1
89,1,1
95,1,1
108,1,1
115,1,1
157,1,1
187,1,1
194,1,1
200,1,1
226,1,1
233,1,1
252,1,1
299,1,1
302,1,1
310,1,1
330,1,1
332,1,1
334,1,1
361,1,1
367,1,1
372,1,1
375,1,1
383,1,1
388,1,1
396,1,1
413,1,1
435,1,1
442,1,1
450,1,1
453,1,1
465,1,1
468,1,1
471,1,1
474,1,1
488,1,1
494,1,1
498,1,1
502,1,1
508,1,1
509,1,1
513,1,1
517,1,1
524,1,1
530,1,1
531,1,1
537,1,1
545,1,1
557,1,1
558,1,1
603,1,1
606,1,1
607,1,1
611,1,1
651,0,0
661,0,0
674,0,0
685,0,0
692,0,0
696,0,0
700,0,0
719,0,0
730,0,0
738,0,0
752,0,0
754,0,0
785,1,1
798,1,1
800,1,1
805,1,1
806,1,1
811,1,1
846,0,0
848,1,1
855,1,1
858,0,0
874,1,0
896,0,0
905,0,0
907,0,0
909,0,0
931,0,0
936,0,0
939,0,0
962,0,0
973,0,0
997,0,0
998,0,0
1004,0,0
1005,0,0
1006,0,0
1011,0,0
1018,0,0
1025,1,0
1040,0,0
1049,0,0
1061,0,0
1063,0,0
1084,0,0
1099,0,0
1106,1,0
1125,0,0
1126,0,0
1140,0,0
1159,0,0
1168,0,0
1174,0,0
1185,0,0
1197,0,0
1200,0,0
1207,0,0
1218,0,0
1223,0,0
1225,0,0
1234,0,0
1237,0,0
1260,0,0
1277,0,0
1282,0,0
1305,0,0
1323,0,0
1329,0,0
1355,0,0
1374,0,0
1384,0,0
1420,0,0
1433,0,0
1440,0,0
1448,0,0
1467,0,0
1476,0,0
1491,0,0
1497,0,0
1506,0,0
1517,0,0
1561,0,0
1576,0,0
1578,0,0
1587,1,0
1590,1,1
1602,0,0
1609,0,0
1618,0,0
1619,0,0
1634,0,0
1646,0,0
1649,0,0
1659,0,0
1663,0,0
1669,0,0
1676,0,0
1678,0,0
1700,0,0
1704,0,0
1708,0,0
1718,0,0
1754,0,0
1780,0,0
1784,0,0
1794,0,0
1796,0,0
1797,0,0
1799,0,0
1804,0,0
1809,0,0
1814,0,0
1819,0,0
1842,0,0
1848,0,0
1849,0,0
1855,0,0
1863,0,0
1867,0,0
1876,0,0
1877,0,0
1878,0,0
1891,0,0
1893,0,0
1924,0,0
1926,0,0
1942,1,0
1947,0,0
1952,0,1
1953,1,0
1958,1,1
1959,1,1
1960,1,1
1970,1,1
1974,0,0
1978,1,0
1989,0,0
2020,0,0
2034,0,0
2043,0,0
2046,1,0
2094,0,0
2101,0,0
2108,0,0
2110,0,0
2115,0,0
2122,1,0
2123,1,1
2127,0,0
2135,0,0
2136,1,0
2139,1,0
2151,0,0
2167,1,0
2169,1,0
2186,0,0
2189,1,1
2205,0,0
2225,1,1
2231,0,0
2233,0,0
2238,0,0
2240,0,0
2245,0,0
2246,0,0
2253,1,0
2265,0,0
2266,1,0
2268,1,0
2287,0,0
2290,1,0
2298,0,0
2311,0,0
2316,0,0
2320,0,0
2337,0,0
2357,1,1
2370,1,1
2387,0,0
2389,0,0
2405,0,0
2417,0,0
2430,0,0
2441,0,0
2470,0,0
2475,0,0
2480,0,0
2483,0,0
2485,0,0
2487,0,0
2496,0,1
2499,0,0
2500,0,0
2516,1,1
2533,0,0
2534,0,0
,expected,predicted
20,1,0
22,1,0
36,1,1
72,1,1
87,1,1
90,1,1
91,1,1
99,1,1
137,1,1
141,1,1
156,1,1
161,1,1
170,1,1
177,1,1
182,1,1
184,1,1
188,1,1
198,1,1
209,1,1
211,1,1
212,1,1
213,1,1
215,1,1
219,1,1
220,1,1
230,1,1
245,1,1
250,1,1
254,1,1
259,1,1
260,1,1
261,1,1
272,1,1
290,1,1
291,1,1
292,1,1
297,1,1
315,1,1
359,1,1
362,1,1
379,1,1
389,1,1
399,1,1
425,1,1
436,1,1
455,1,1
464,1,1
477,1,1
490,1,1
492,1,1
516,1,1
520,1,1
521,1,1
523,1,1
538,1,1
546,1,1
553,1,1
604,1,1
608,1,1
627,0,0
673,0,0
686,0,0
701,0,0
704,0,0
724,0,0
726,0,0
727,0,0
749,0,0
750,0,0
763,1,1
777,1,1
793,1,1
810,1,1
813,1,1
822,1,1
843,1,1
850,1,0
860,1,0
870,0,0
872,1,1
873,0,1
885,1,0
887,0,0
918,1,0
925,0,0
929,0,0
944,0,0
945,0,0
969,0,0
1016,0,0
1020,0,0
1026,0,0
1037,0,0
1038,0,0
1039,0,0
1045,1,0
1047,1,0
1048,1,0
1055,0,0
1056,0,0
1060,0,0
1062,0,0
1073,0,0
1075,0,0
1081,0,0
1098,0,0
1111,0,0
1115,0,0
1139,0,0
1171,0,0
1179,0,0
1190,0,0
1204,0,0
1209,0,0
1214,0,0
1216,0,0
1219,0,0
1224,0,0
1247,0,0
1248,1,0
1249,0,0
1250,0,0
1280,0,0
1294,0,0
1306,0,0
1311,0,0
1313,0,0
1314,0,0
1327,0,0
1333,0,0
1348,0,0
1351,0,0
1356,0,0
1364,0,0
1378,0,0
1389,0,0
1395,0,0
1403,0,0
1409,0,0
1411,0,0
1413,0,0
1417,0,0
1429,0,0
1445,0,0
1463,0,0
1468,0,0
1475,0,0
1484,0,0
1485,0,0
1492,0,0
1496,0,0
1502,0,0
1512,0,0
1524,0,0
1541,0,0
1552,0,0
1555,0,0
1568,0,0
1595,1,0
1617,0,0
1628,0,0
1644,0,0
1645,0,0
1670,0,0
1673,0,0
1690,0,0
1694,0,0
1703,0,0
1720,0,0
1725,0,0
1728,0,0
1729,0,0
1738,0,0
1748,0,0
1751,0,0
1756,0,0
1767,0,0
1768,0,0
1771,0,0
1777,0,0
1787,0,0
1801,0,0
1808,0,0
1815,0,0
1818,0,0
1829,0,0
1833,0,0
1841,0,0
1874,0,0
1910,0,0
1930,0,0
1938,0,0
1939,0,0
1964,1,1
1968,1,1
1971,1,1
1975,0,0
1985,0,0
1990,0,0
1999,1,1
2001,0,0
2004,0,0
2025,0,0
2048,0,0
2052,0,0
2058,0,0
2063,0,0
2067,0,0
2069,0,0
2084,0,0
2085,0,0
2090,0,0
2104,0,0
2117,0,0
2154,0,0
2159,1,1
2162,0,0
2170,1,0
2175,1,0
2176,0,0
2179,1,1
2187,1,1
2196,0,1
2197,1,1
2217,0,0
2244,0,0
2249,0,0
2250,0,0
2256,1,0
2279,0,0
2280,0,0
2294,1,1
2297,1,0
2299,0,0
2319,0,0
2324,0,0
2325,0,0
2328,0,0
2329,0,0
2332,1,0
2346,1,1
2363,0,0
2379,0,0
2385,0,0
2390,0,0
2413,0,0
2431,0,0
2434,0,0
2444,1,0
2454,0,0
2491,0,0
2511,0,0
2519,1,1
2539,0,0
2549,1,0
,expected,predicted
2,0,0
15,1,0
23,0,0
28,1,1
42,1,1
50,1,1
54,1,1
60,1,1
71,1,1
79,1,1
88,1,1
109,1,1
110,1,1
135,1,1
136,1,1
138,1,1
145,1,1
150,1,1
166,1,1
171,1,1
178,1,1
181,1,1
190,1,1
206,1,1
210,1,1
241,1,1
248,1,1
251,1,1
255,1,1
263,1,1
264,1,1
274,1,1
277,1,1
298,1,1
304,1,1
307,1,1
309,1,1
313,1,1
322,1,1
354,1,1
360,1,1
365,1,1
369,1,1
427,1,1
444,1,1
462,1,1
481,1,1
483,1,1
487,1,1
528,1,1
542,1,1
550,1,1
566,1,1
568,1,1
579,1,1
583,1,1
587,1,1
595,1,1
609,1,1
620,1,1
642,0,0
643,0,0
648,0,0
652,0,0
663,0,0
667,0,0
671,0,0
672,0,0
691,0,0
697,0,0
707,0,0
725,0,0
751,0,0
